full_name,party,state,congress_number
John Thune,Republican,South Dakota,118
Mike Rounds,Republican,South Dakota,118
Bill Hagerty,Republican,Tennessee,118
Marsha Blackburn,Republican,Tennessee,118
John Cornyn,Republican,Texas,118
Ted Cruz,Republican,Texas,118
Mike Lee,Republican,Utah,118
Mitt Romney,Republican,Utah,118
Bernie Sanders,Independent,Vermont,118
Peter Welch,Democratic,Vermont,118
Mark Warner,Democratic,Virginia,118
Tim Kaine,Democratic,Virginia,118
Maria Cantwell,Democratic,Washington,118
Patty Murray,Democratic,Washington,118
Joe Manchin,Democratic,West Virginia,118
Shelley Moore Capito,Republican,West Virginia,118
Ron Johnson,Republican,Wisconsin,118
Tammy Baldwin,Democratic,Wisconsin,118
Cynthia Lummis,Republican,Wyoming,118
John Barrasso,Republican,Wyoming,118
Katie Britt,Republican,Alabama,119
Tommy Tuberville,Republican,Alabama,119
Dan Sullivan,Republican,Alaska,119
Lisa Murkowski,Republican,Alaska,119
Mark Kelly,Democratic,Arizona,119
Ruben Gallego,Democratic,Arizona,119
John Boozman,Republican,Arkansas,119
Tom Cotton,Republican,Arkansas,119
Adam Schiff,Democratic,California,119
Alex Padilla,Democratic,California,119
John Hickenlooper,Democratic,Colorado,119
Michael Bennet,Democratic,Colorado,119
Chris Murphy,Democratic,Connecticut,119
Richard Blumenthal,Democratic,Connecticut,119
Chris Coons,Democratic,Delaware,119
Lisa Blunt Rochester,Democratic,Delaware,119
Ashley Moody[a],Republican,Florida,119
Marco Rubio[a],Republican,Florida,119
Rick Scott,Republican,Florida,119
Jon Ossoff,Democratic,Georgia,119
Raphael Warnock,Democratic,Georgia,119
Brian Schatz,Democratic,Hawaii,119
Mazie Hirono,Democratic,Hawaii,119
Jim Risch,Republican,Idaho,119
Mike Crapo,Republican,Idaho,119
Dick Durbin,Democratic,Illinois,119
Tammy Duckworth,Democratic,Illinois,119
Jim Banks,Republican,Indiana,119
Todd Young,Republican,Indiana,119
Chuck Grassley,Republican,Iowa,119
Joni Ernst,Republican,Iowa,119
Jerry Moran,Republican,Kansas,119
Roger Marshall,Republican,Kansas,119
Mitch McConnell,Republican,Kentucky,119
Rand Paul,Republican,Kentucky,119
Bill Cassidy,Republican,Louisiana,119
John Kennedy,Republican,Louisiana,119
Angus King,Independent,Maine,119
Susan Collins,Republican,Maine,119
Angela Alsobrooks,Democratic,Maryland,119
Chris Van Hollen,Democratic,Maryland,119
Ed Markey,Democratic,Massachusetts,119
Elizabeth Warren,Democratic,Massachusetts,119
Elissa Slotkin,Democratic,Michigan,119
Gary Peters,Democratic,Michigan,119
Amy Klobuchar,Democratic,Minnesota,119
Tina Smith,Democratic,Minnesota,119
Cindy Hyde-Smith,Republican,Mississippi,119
Roger Wicker,Republican,Mississippi,119
Eric Schmitt,Republican,Missouri,119
Josh Hawley,Republican,Missouri,119
Steve Daines,Republican,Montana,119
Tim Sheehy,Republican,Montana,119
Deb Fischer,Republican,Nebraska,119
Pete Ricketts,Republican,Nebraska,119
Catherine Cortez Masto,Democratic,Nevada,119
Jacky Rosen,Democratic,Nevada,119
Jeanne Shaheen,Democratic,New Hampshire,119
Maggie Hassan,Democratic,New Hampshire,119
Andy Kim,Democratic,New Jersey,119
Cory Booker,Democratic,New Jersey,119
Ben Ray Luján,Democratic,New Mexico,119
Martin Heinrich,Democratic,New Mexico,119
Chuck Schumer,Democratic,New York,119
Kirsten Gillibrand,Democratic,New York,119
Ted Budd,Republican,North Carolina,119
Thom Tillis,Republican,North Carolina,119
John Hoeven,Republican,North Dakota,119
Kevin Cramer,Republican,North Dakota,119
Bernie Moreno,Republican,Ohio,119
JD Vance[b],Republican,Ohio,119
Jon Husted[b],Republican,Ohio,119
James Lankford,Republican,Oklahoma,119
Markwayne Mullin,Republican,Oklahoma,119
Jeff Merkley,Democratic,Oregon,119
Ron Wyden,Democratic,Oregon,119
David McCormick,Republican,Pennsylvania,119
John Fetterman,Democratic,Pennsylvania,119
Jack Reed,Democratic,Rhode Island,119
Sheldon Whitehouse,Democratic,Rhode Island,119
Lindsey Graham,Republican,South Carolina,119
Tim Scott,Republican,South Carolina,119
John Thune,Republican,South Dakota,119
Mike Rounds,Republican,South Dakota,119
Bill Hagerty,Republican,Tennessee,119
Marsha Blackburn,Republican,Tennessee,119
John Cornyn,Republican,Texas,119
Ted Cruz,Republican,Texas,119
John Curtis,Republican,Utah,119
Mike Lee,Republican,Utah,119
Bernie Sanders,Independent,Vermont,119
Peter Welch,Democratic,Vermont,119
Mark Warner,Democratic,Virginia,119
Tim Kaine,Democratic,Virginia,119
Maria Cantwell,Democratic,Washington,119
Patty Murray,Democratic,Washington,119
Jim Justice[c],Republican,West Virginia,119
Shelley Moore Capito,Republican,West Virginia,119
Ron Johnson,Republican,Wisconsin,119
Tammy Baldwin,Democratic,Wisconsin,119
Cynthia Lummis,Republican,Wyoming,119
John Barrasso,Republican,Wyoming,119
